artist,Gender ,Source 
Banky W.,Male,https://www.google.com/search?q=banky+w&oq=banky+w&aqs=chrome..69i57j46i67i433j46i67j0i67j46i67j0i512l3j46i512j0i512.1728j0j9&sourceid=chrome&ie=UTF-8
Banky W.,Male,https://www.google.com/search?q=banky+w&oq=banky+w&aqs=chrome..69i57j46i67i433j46i67j0i67j46i67j0i512l3j46i512j0i512.1728j0j9&sourceid=chrome&ie=UTF-8
Banky W.,Male,https://www.google.com/search?q=banky+w&oq=banky+w&aqs=chrome..69i57j46i67i433j46i67j0i67j46i67j0i512l3j46i512j0i512.1728j0j9&sourceid=chrome&ie=UTF-8
Banky W.,Male,https://www.google.com/search?q=banky+w&oq=banky+w&aqs=chrome..69i57j46i67i433j46i67j0i67j46i67j0i512l3j46i512j0i512.1728j0j9&sourceid=chrome&ie=UTF-8
Basketmouth,Male,https://www.google.com/search?q=basketmouth&sxsrf=AOaemvKe3vjOkiv0At8L6ev58eALlU8Szw%3A1638347922255&ei=kjSnYePxDpaA8gK-25qICg&gs_ssp=eJzj4tLP1TeILzZOL0g3YPTiTkoszk4tyc0vLckAAGWRCIA&oq=basketmout&gs_lcp=Cgdnd3Mtd2l6EAMYATIKCAAQgAQQhwIQFDIFCC4QgAQyBQgAEIAEMgUILhCABDIFCAAQgAQyBQguEIAEMgUIABCABDIFCC4QgAQyBQgAEIAEMgUIABCABDoHCAAQRxCwAzoKCC4QyAMQsAMQQzoECCMQJzoECC4QQzoLCAAQgAQQsQMQgwE6EQguEIAEELEDEIMBEMcBEKMCOhEILhCABBCxAxCDARDHARDRAzoFCAAQkQI6BQguEJECOggILhCxAxCDAToICAAQsQMQgwE6CAguEIAEELEDOggILhCxAxCRAjoLCC4QgAQQxwEQowI6CAgAEIAEELEDOg4ILhCxAxCDARDHARCvAToOCC4QgAQQsQMQxwEQowI6CAgAEIAEEMkDOgUIABCSAzoLCC4QgAQQxwEQrwFKBAhBGABQ4AVYoBBghiFoAnACeACAAYIBiAG4BpIBAzguMpgBAKABAcgBDsABAQ&sclient=gws-wiz
BEZ,Male,https://www.google.com/search?q=bez+nigerian+singer&sxsrf=AOaemvJOBkFJu6CUelTSieMVEqZYjsMJAQ%3A1638349323433&ei=CzqnYcDeGZKdgQbBwrHACg&gs_ssp=eJzj4tLP1TfIya5MNy42YPQSTkqtUsjLTE8tykzMUyjOzAOyALT3C1E&oq=BEZ+nigeria&gs_lcp=Cgdnd3Mtd2l6EAEYADIFCC4QgAQyBggAEBYQHjoHCAAQRxCwAzoHCAAQsAMQQzoKCC4QyAMQsAMQQzoECAAQQzoICC4QgAQQsQM6BQgAEIAEOgcIABCABBAKOgoILhCABBCHAhAUSgQIQRgAULgBWJwTYKIlaAFwAngAgAFviAGPBpIBAzQuNJgBAKABAcgBD8ABAQ&sclient=gws-wiz
Bisa Kdei,Male,https://www.google.com/search?q=bisa+kdei&biw=1440&bih=720&sxsrf=AOaemvJE99SnQCj7PosyUviDtr5W_Mi3tQ%3A1638267683326&ei=I_ulYYKdE-aBhbIPvtOmUA&gs_ssp=eJzj4tVP1zc0TDKPL6mITzY0YPTiTMosTlTITknNBABnLwf2&oq=bissa+k&gs_lcp=Cgdnd3Mtd2l6EAMYADIECC4QCjIECAAQCjIECAAQCjIECAAQCjIECC4QCjIECC4QCjIECAAQCjIECAAQCjIECAAQCjIECC4QCjoHCAAQRxCwAzoKCC4QyAMQsAMQQzoECCMQJzoKCC4QxwEQowIQJzoECC4QQzoLCAAQgAQQsQMQgwE6BQguEJECOggILhCABBCxAzoICC4QsQMQgwE6BQguEIAEOggIABCABBCxAzoRCC4QgAQQsQMQgwEQxwEQ0QM6CwguEIAEELEDEIMBOgUIABCABDoFCAAQkQI6BQgAELEDOgcIABCABBAKSgQIQRgAUPQGWKQRYIoeaANwAngAgAGeAYgBkQWSAQM2LjGYAQCgAQHIAQ7AAQE&sclient=gws-wiz
Bisa Kdei,Male,https://www.google.com/search?q=bisa+kdei&biw=1440&bih=720&sxsrf=AOaemvJE99SnQCj7PosyUviDtr5W_Mi3tQ%3A1638267683326&ei=I_ulYYKdE-aBhbIPvtOmUA&gs_ssp=eJzj4tVP1zc0TDKPL6mITzY0YPTiTMosTlTITknNBABnLwf2&oq=bissa+k&gs_lcp=Cgdnd3Mtd2l6EAMYADIECC4QCjIECAAQCjIECAAQCjIECAAQCjIECC4QCjIECC4QCjIECAAQCjIECAAQCjIECAAQCjIECC4QCjoHCAAQRxCwAzoKCC4QyAMQsAMQQzoECCMQJzoKCC4QxwEQowIQJzoECC4QQzoLCAAQgAQQsQMQgwE6BQguEJECOggILhCABBCxAzoICC4QsQMQgwE6BQguEIAEOggIABCABBCxAzoRCC4QgAQQsQMQgwEQxwEQ0QM6CwguEIAEELEDEIMBOgUIABCABDoFCAAQkQI6BQgAELEDOgcIABCABBAKSgQIQRgAUPQGWKQRYIoeaANwAngAgAGeAYgBkQWSAQM2LjGYAQCgAQHIAQ7AAQE&sclient=gws-wiz
Blackmagic,Male,https://www.google.com/search?q=blackmagic+nigerian+artist&sxsrf=AOaemvKdIRPmkcR3jKkmthosru0gB0f9gQ%3A1638349677739&ei=bTunYZquLM2W8gK0_qKoCA&gs_ssp=eJzj4tVP1zc0TCo3M0sqLkgzYPSSSspJTM7OTUzPTFbIy0xPLcpMzFNILCrJLC4BADC7DuY&oq=blackmagic+niger&gs_lcp=Cgdnd3Mtd2l6EAMYADIFCC4QgAQyBggAEBYQHjIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMgYIABAWEB46BwgAEEcQsAM6BAguECc6BAgjECc6BAgAEEM6BAguEEM6CwgAEIAEELEDEIMBOhEILhCABBCxAxCDARDHARCjAjoFCAAQkQI6CgguELEDEIMBEEM6BQgAEIAEOggIABCABBCxAzoICC4QgAQQsQM6DgguEIAEELEDEMcBEK8BOg4ILhCABBCxAxDHARDRAzoNCAAQgAQQsQMQgwEQCjoLCC4QgAQQxwEQrwE6CAgAEBYQChAeSgQIQRgAUKUHWI0gYPUqaANwAngAgAGaAYgBsgySAQQxMi40mAEAoAEByAEIwAEB&sclient=gws-wiz
BM,n.a,
